438,3994,4.5,1105650270
73,111921,3.5,1464199220
15,158,1.0,1299424840
486,153,5.0,839536954
29,914,4.0,1362016608
37,296,5.0,845239388
357,17,5.0,1348612178
274,4232,3.5,1171786118
187,26082,5.0,1161849384
534,1,4.0,1459787997
322,6787,4.0,1217677754
450,1206,5.0,974705774
275,1280,5.0,1049078169
328,33794,1.0,1494211268
525,117529,3.5,1476476206
1,2046,4.0,964982563
83,1246,5.0,1333171338
177,59501,3.0,1435526838
88,1193,5.0,1331421346
240,590,4.0,849122058
473,3264,2.0,1169351223
587,1094,5.0,953141521
1,1226,5.0,964983618
28,8361,2.5,1234516204
416,7323,4.5,1187497581
219,1769,2.0,1194680901
280,585,2.5,1347604619
211,1835,3.5,1350912082
139,6534,1.0,1453924653
425,30749,4.5,1163190822
433,1089,4.0,1506823959
474,4484,3.5,1060104442
312,1321,4.0,1043176038
164,1097,5.0,999707976
477,589,5.0,1200939634
217,1599,3.0,956195257
274,344,4.5,1171409788
288,3256,3.0,978465766
274,2857,4.5,1221685963
414,40815,3.5,1511535762
129,2028,4.5,1167375631
266,1089,5.0,945670798
95,8636,4.5,1105401213
552,2571,4.5,1112151193
310,852,3.0,1078647905
591,24,2.0,970525102
249,71106,4.0,1353800632
232,37720,3.0,1182909848
599,51080,2.0,1498510500
21,69406,3.5,1418926516
290,1041,5.0,974938253
298,67267,2.0,1447517419
603,526,4.0,963180075
561,2413,4.0,1491094705
139,52722,1.0,1453924666
242,380,4.0,834073039
339,81932,3.5,1460185923
82,3785,4.0,1084466426
610,99112,3.5,1493849675
429,292,5.0,828124616
143,54503,1.0,1444768777
177,80126,0.5,1435837761
159,1784,2.5,1508640296
166,1682,5.0,1189038119
53,413,5.0,1237748065
606,527,5.0,1171231423
452,1997,5.0,1013397891
490,74946,1.0,1328145596
426,3996,4.0,1451081714
610,66310,3.5,1493848780
603,1101,1.0,953928433
560,6059,3.5,1469649080
411,648,5.0,835532994
15,56174,3.5,1510572810
606,6305,4.5,1171409905
256,3510,4.0,1446580495
552,541,5.0,1111473071
68,68791,3.5,1261622515
514,182727,2.0,1536381035
136,338,2.0,832449755
50,296,4.0,1500573696
240,377,5.0,849122226
58,208,4.0,847718580
125,128360,4.0,1474284240
263,7879,3.5,1090948262
288,4709,3.0,1014821725
474,50068,3.5,1201833185
111,4890,3.0,1516141155
445,1247,4.0,1454622101
469,1037,1.0,965334866
42,2371,5.0,996258536
39,1994,4.0,974787893
430,3054,1.0,965600070
111,121374,4.5,1517440588
606,2396,4.0,1175637348
606,446,3.5,1171760692
64,3752,3.0,1161559618
63,1,5.0,1443199669
298,86833,3.0,1449589124
80,98961,4.5,1377309019
362,98809,4.0,1530643143
424,106100,4.0,1457845909
198,2797,4.0,1034196916
294,3873,3.0,966595028
93,2720,3.0,942946810
280,277,3.0,1347604610
480,2804,5.0,1179161176
289,1080,3.5,1143424660
177,63062,4.0,1435525637
414,63113,4.0,1273977218
572,750,5.0,946482912
480,1307,5.0,1179177873
74,1617,4.5,1207502523
233,3147,4.0,1448815825
480,49280,4.5,1179164024
68,852,3.5,1158533697
563,119145,4.0,1446840998
89,149508,5.0,1520409454
19,2555,1.0,965708587
562,30749,3.5,1368893945
4,2336,2.0,964538964
133,474,3.0,843491514
354,1196,4.0,1200870600
179,161,5.0,840907462
438,7259,2.0,1105654412
255,1663,5.0,1005717340
593,357,2.0,1181008304
517,4039,1.5,1487958404
600,2616,2.5,1237742906
414,5817,4.5,1076182735
232,3911,3.0,1218168076
200,6378,4.0,1229886974
21,106782,3.0,1403459964
330,1917,3.0,1285905275
161,3429,5.0,1186073278
380,65514,5.0,1494696245
172,277,4.5,1238715964
126,593,3.0,845925615
89,119141,2.5,1520408871
400,1198,4.5,1498870158
105,98809,4.0,1447538089
534,134775,2.0,1459787995
419,1407,4.0,1321757486
453,4167,5.0,1005966164
469,2528,3.0,965334150
132,6155,3.0,1174939831
606,4205,4.0,1171757338
288,1304,4.0,976120665
593,7153,4.5,1181007545
223,480,3.5,1226210059
419,1208,3.0,1321854974
186,588,5.0,1031080921
292,6377,3.5,1262376394
411,10,3.0,835532065
599,1240,3.5,1498501551
610,332,3.0,1479543131
365,73017,3.0,1488332600
307,1086,4.0,1213926445
313,4128,4.0,1030475679
266,296,5.0,945670764
462,593,3.5,1123891493
323,1094,4.0,1422640494
469,2105,4.0,965334356
380,19,5.0,1493667522
452,2490,5.0,1019584576
291,60069,5.0,1453051715
232,33166,4.5,1183000329
606,4840,4.0,1171822724
249,8665,4.0,1347317833
318,81564,4.0,1325867483
474,31260,3.5,1189990579
232,6219,3.0,1218167343
571,2746,3.0,966900512
347,32,3.0,847645812
226,5139,3.5,1130137064
163,1407,3.0,894217532
448,79592,2.0,1315154579
91,377,3.0,1112713224
204,81132,3.5,1327182700
274,79008,4.0,1284687042
174,150,5.0,848486904
16,1299,4.0,1377477583
484,441,5.0,1342298226
414,527,4.0,961512311
247,68157,4.0,1467644158
195,2028,3.0,974709608
368,2688,3.0,971276901
254,110,4.0,1180446383
294,3869,3.0,966595915
532,4262,4.0,1025523292
140,593,4.0,949666792
474,3893,3.0,1047054645
19,2720,1.0,965708653
493,1918,4.0,1001562491
232,68791,4.0,1247191040
594,589,5.0,1109036592
294,2423,4.0,966595844
318,3052,4.0,1413628035
391,1391,2.0,1030826917
561,2420,4.5,1491091107
462,1961,2.0,1154037877
57,1678,3.0,972172280
88,4226,4.0,1331421887
89,118270,5.0,1520409402
213,2402,4.5,1316194645
590,3418,3.0,1258421463
121,539,4.0,847656045
47,3408,3.0,1496209899
448,87430,1.5,1308418333
226,3668,3.5,1101194159
16,1230,4.0,1377477576
387,4963,3.5,1185007107
200,58559,5.0,1229885836
111,8957,0.5,1516141066
334,1240,3.5,1234629955
287,2710,1.0,1110230372
166,44191,4.5,1189037835
527,919,5.0,1033175704
560,3825,2.5,1469650612
551,170697,4.0,1504316481
110,5459,2.5,1175329445
480,3812,4.0,1179161665
354,4447,3.5,1200953026
64,2770,4.0,1161529212
474,7839,3.5,1084279177
474,55118,4.0,1201833256
123,4776,4.0,1448836068
414,51694,3.5,1286739146
382,109846,3.5,1515249603
